"playerID","AB_2021","AB_2020","H_2021","H_2020","BA_2021","BA_2020"
"longsh01",111,117,22,20,0.198198198198198,0.170940170940171
"lopezni01",497,169,149,34,0.299798792756539,0.201183431952663
"lowebr01",535,193,132,52,0.246728971962617,0.269430051813472
"lowena01",557,67,147,15,0.263913824057451,0.223880597014925
"luplojo01",163,78,33,15,0.202453987730061,0.192307692307692
"luxga01",335,63,81,11,0.241791044776119,0.174603174603175
"machama01",564,224,157,68,0.278368794326241,0.303571428571429
"madrini01",200,103,61,35,0.305,0.339805825242718
"maldoma01",373,135,64,29,0.171581769436997,0.214814814814815
"margoma01",421,145,107,39,0.2541567695962,0.268965517241379
"marmojo01",106,107,17,22,0.160377358490566,0.205607476635514
"marteke01",340,181,108,52,0.317647058823529,0.287292817679558
"martest01",467,228,145,64,0.310492505353319,0.280701754385965
"martijd02",570,211,163,45,0.285964912280702,0.213270142180095
"mazarno01",165,136,35,31,0.212121212121212,0.227941176470588
"mccanja02",375,97,87,28,0.232,0.288659793814433
"mccutan01",482,217,107,55,0.221991701244813,0.253456221198157
"mcmahry01",528,172,134,37,0.253787878787879,0.215116279069767
"mcneije01",386,183,97,57,0.251295336787565,0.311475409836066
"meadoau01",518,132,121,27,0.233590733590734,0.204545454545455
"mendida01",164,107,36,26,0.219512195121951,0.242990654205607
"mercaos01",214,86,48,11,0.224299065420561,0.127906976744186
"merriwh01",664,248,184,70,0.27710843373494,0.282258064516129
"millebr02",331,142,75,33,0.226586102719033,0.232394366197183
"molinya01",440,145,111,38,0.252272727272727,0.262068965517241
"moncayo01",520,200,137,45,0.263461538461538,0.225
"mondera02",126,219,29,56,0.23015873015873,0.255707762557078
"mooredy01",332,137,60,35,0.180722891566265,0.255474452554745
"moranco01",318,178,82,44,0.257861635220126,0.247191011235955
"morelmi01",229,136,52,36,0.22707423580786,0.264705882352941
"mountry01",534,126,136,42,0.254681647940075,0.333333333333333
"moustmi01",183,139,38,32,0.207650273224044,0.23021582733813
"mullice01",602,140,175,38,0.290697674418605,0.271428571428571
"muncyma01",497,203,124,39,0.249496981891348,0.192118226600985
"murphse01",393,116,85,27,0.216284987277354,0.232758620689655
"myerswi01",442,198,113,57,0.255656108597285,0.287878787878788
"naquity01",411,133,111,29,0.27007299270073,0.218045112781955
