season,round,race_name,circuit,driver_join_id,pit_lap,stop_number,pit_stop_time_s,constructor,under_safety_car,race_has_safety_car,race_safety_car_lap_share,race_q95_stop,abnormal_stop_proxy,very_short_stop_proxy,plot_group,constructor_n,circuit_n
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,giovinazzi,39,2,22.871,alfa,0,0,0,26.945999999999998,1,0,Excluded: abnormal long stop,194,172
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,hamilton,28,1,22.22,mercedes,0,0,0,26.945999999999998,1,0,Excluded: abnormal long stop,278,172
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,hamilton,42,2,22.078,mercedes,0,0,0,26.945999999999998,1,0,Excluded: abnormal long stop,278,172
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,latifi,9,1,26.672,williams,0,0,0,26.945999999999998,1,0,Excluded: abnormal long stop,271,172
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,latifi,27,2,21.424,williams,0,0,0,26.945999999999998,1,0,Excluded: abnormal long stop,271,172
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,latifi,50,3,22.405,williams,0,0,0,26.945999999999998,1,0,Excluded: abnormal long stop,271,172
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,leclerc,28,1,21.613,ferrari,0,0,0,26.945999999999998,1,0,Excluded: abnormal long stop,259,172
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,leclerc,58,2,22.292,ferrari,0,0,0,26.945999999999998,1,0,Excluded: abnormal long stop,259,172
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,maxverstappen,24,1,23.565,red_bull,0,0,0,26.945999999999998,1,0,Excluded: abnormal long stop,292,172
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,maxverstappen,60,2,21.592,red_bull,0,0,0,26.945999999999998,1,0,Excluded: abnormal long stop,292,172
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,mazepin,22,1,23.098,haas,0,0,0,26.945999999999998,1,0,Excluded: abnormal long stop,272,172
