season,round,race_name,circuit,driver_join_id,pit_lap,stop_number,pit_stop_time_s,constructor,result_status_text,damage_crash_proxy,penalty_text_proxy,track_status,under_safety_car,under_yellow_flag,under_red_flag,under_any_non_green,race_has_safety_car,race_safety_car_lap_share,race_has_yellow_flag,race_has_red_flag,race_q95_stop,very_short_stop_proxy,abnormal_long_stop_proxy,penalty_duration_proxy,penalty_proxy,point_type,constructor_n,circuit_n,pred_simple,pred_adjusted,residual_simple,residual_adjusted
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,gasly,3,2,22.319,alphatauri,Finished,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,202,60,23.147245820800602,23.327288731203463,-0.8282458208006034,-1.0082887312034643
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,gasly,24,3,26.172,alphatauri,Finished,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,202,60,23.147245820800602,23.853867244234472,3.024754179199398,2.3181327557655287
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,giovinazzi,2,1,22.485,alfa,+1 Lap,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,194,60,23.603841028034257,23.609333367562723,-1.1188410280342573,-1.1243333675627234
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,giovinazzi,3,2,22.669,alfa,+1 Lap,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,194,60,23.603841028034257,23.763032650686885,-0.9348410280342563,-1.0940326506868843
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,giovinazzi,22,3,26.729,alfa,+1 Lap,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,194,60,23.603841028034257,24.28533938935783,3.1251589719657424,2.443660610642169
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,hamilton,2,1,22.426,mercedes,Finished,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,278,60,23.80806484363022,23.314449003029544,-1.3820648436302214,-0.888449003029546
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,hamilton,3,2,22.164,mercedes,Finished,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,278,60,23.80806484363022,23.468148286153706,-1.6440648436302183,-1.3041482861537048
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,hamilton,37,3,26.907,mercedes,Finished,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,278,60,23.80806484363022,24.02249333252516,3.0989351563697802,2.8845066674748416
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,latifi,2,1,21.97,williams,+2 Laps,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,271,60,24.658894422135152,23.60542538335487,-2.688894422135153,-1.635425383354871
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,latifi,3,2,21.73,williams,+2 Laps,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,271,60,24.658894422135152,23.759124666479035,-2.9288944221351514,-2.029124666479035
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,latifi,24,3,26.595,williams,+2 Laps,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,271,60,24.658894422135152,24.285703179510044,1.936105577864847,2.309296820489955
