season,round,race_name,circuit,driver_join_id,pit_lap,stop_number,pit_stop_time_s,constructor,under_safety_car,race_has_safety_car,race_safety_car_lap_share,race_q95_stop,abnormal_stop_proxy,very_short_stop_proxy,constructor_n,circuit_n,pred_simple,pred_adjusted,residual_simple,residual_adjusted
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,maxverstappen,35,3,26.743,red_bull,0,0,0,27.0872,1,0,292,60,23.35989949294445,23.38978790073731,3.3831005070555484,3.353212099262688
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,maxverstappen,64,4,26.319,red_bull,0,0,0,27.0872,1,0,292,60,23.35989949294445,24.891649887065583,2.959100507055549,1.4273501129344162
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mazepin,2,1,21.372,haas,0,0,0,27.0872,1,0,272,60,24.8074441540668,24.299172168418433,-3.4354441540668006,-2.9271721684184335
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mazepin,3,2,21.404,haas,0,0,0,27.0872,1,0,272,60,24.8074441540668,24.47366676108585,-3.4034441540668006,-3.0696667610858483
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mazepin,31,3,27.186,haas,0,0,0,27.0872,1,0,272,60,24.8074441540668,24.940390287730818,2.3785558459331995,2.2456097122691823
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mazepin,43,4,26.984,haas,0,0,0,27.0872,1,0,272,60,24.8074441540668,26.431703778196074,2.1765558459332013,0.5522962218039282
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mickschumacher,2,1,22.019,haas,0,0,0,27.0872,1,0,272,60,24.8074441540668,24.299172168418433,-2.788444154066802,-2.280172168418435
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mickschumacher,3,2,21.454,haas,0,0,0,27.0872,1,0,272,60,24.8074441540668,24.47366676108585,-3.3534441540668,-3.0196667610858476
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mickschumacher,32,3,27.245,haas,0,0,0,27.0872,1,0,272,60,24.8074441540668,24.941010787487468,2.4375558459332005,2.3039892125125334
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,norris,2,1,21.407,mclaren,0,0,0,27.0872,1,0,270,60,23.410625150660657,23.166781930566245,-2.003625150660657,-1.7597819305662448
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,norris,3,2,22.551,mclaren,0,0,0,27.0872,1,0,270,60,23.410625150660657,23.34127652323366,-0.8596251506606585,-0.7902765232336613
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,norris,22,3,26.952,mclaren,0,0,0,27.0872,1,0,270,60,23.410625150660657,23.802415552068798,3.541374849339345,3.149584447931204
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,ocon,2,1,21.275,alpine,0,0,0,27.0872,1,0,249,60,23.62938218744925,23.582603743684075,-2.35438218744925,-2.3076037436840764
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,ocon,3,2,22.24,alpine,0,0,0,27.0872,1,0,249,60,23.62938218744925,23.757098336351493,-1.3893821874492502,-1.517098336351495
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,ocon,22,3,27.033,alpine,0,0,0,27.0872,1,0,249,60,23.62938218744925,24.218237365186628,3.4036178125507526,2.8147626348133734
